* IconID;Description;Color;IconClass;Nation;Chassis;IconStyle
AD04;Cyklista Pechota (Bicycle x3) + helmet;olive/brown;Cyclist;WW2 Czechoslovakia;Bicycle;Default
AD06;Focke-Wulf Fw 189 Uhu;green;Recon Plane (propeller);WW2 All Nations;Fw 189;Obsolete
AD14;BT-42;grey;SPAT (track);WW2 All Nations;BT;Pat
AD19;120 mm GrK m/41 Mortar + Crew (x3);olive;Mortar Infantry;WW2 Sweden;;Obsolete
AD26;Concrete Rectangular Radar Bunker (large);grey/camo;Fortification (observe);WW2 / Cold War / 2000 All Nations;Bunker;Pat
ADETH;Chitet Levy + Sword and Spear (Militia Infantry x3);white;Militia Infantry;WW2 Ethiopia (Abyssinia) Oromia;;Obsolete
ADZER;Zariba (thorn bush defense);green/camo;Terrain Layer;1800 / WW1 / WW2 All Nations;;
AG001;Scout Ant;brown;Fantasy Infantry;Fantasy Giant Ants;;Fantasy
AG002;Fire Ant;red;Fantasy Infantry;Fantasy Giant Ants;;Fantasy
AG003;Warrior Ant;red/black;Fantasy Infantry;Fantasy Giant Ants;;Fantasy
AG004;Lunar Infantry (x3);silver/grey;Fantasy Infantry;Fantasy USA;;Fantasy
AG005;Lunar Infantry (x3);silver/grey;Fantasy Infantry;Fantasy Germany;;Fantasy
AG006;Lunar Rocketeer (Infantry x1);silver/grey;Fantasy Infantry;Fantasy USA;;Fantasy
AG007;Lunar Rocketeer (Infantry x1);silver/grey;Fantasy Infantry;Fantasy Germany;;Fantasy
AG008;Lunar Lander;grey/red;Fantasy Fortification;Fantasy USA;;Fantasy
AG011;Paratrooper Assault Engineers 1950 (x3) (mod. JKB08 / JKB15);green;Paratrooper Engineer Infantry;Cold War USA Marine (USMC);;Obsolete
AG012;Queen Ant;red/black;Fantasy Infantry;Fantasy Giant Ants;;Fantasy
AG013;Hovercraft Class A (light);blue;Fantasy ACV;Fantasy Guardians;;Fantasy
AG014;Hovercraft Class C (medium);blue;Fantasy ACV;Fantasy Guardians;;Fantasy
AG015;Hovercraft Class E (heavy);blue;Fantasy SPArty;Fantasy Guardians;;Fantasy
AG016;Drone Tank;blue;Fantasy Tank;Fantasy Guardians;;Fantasy
AG017;Hovercraft Class B (light);blue;Fantasy SPAT;Fantasy Guardians;;Fantasy
AG018;Hovercraft Class C / AA (medium);blue;Fantasy SPAD;Fantasy Guardians;;Fantasy
AG019;Assault Walker;blue;Fantasy Tank;Fantasy Guardians;;Fantasy
AG020;Hovercraft Class D (heavy);blue;Fantasy SPAT;Fantasy Guardians;;Fantasy
AG021;Drone Fighter;blue;Fantasy Fighter;Fantasy Guardians;;Fantasy
AG022;Drone Bomber;blue;Fantasy Bomber;Fantasy Guardians;;Fantasy
AG023;Heavy Bomber;blue;Fantasy Bomber;Fantasy Guardians;;Fantasy
AG024;Time Machine;grey/olive;Fantasy Fortification;Fantasy Guardians;;Fantasy
AG025;Laser Turret;blue;Fantasy Fortification;Fantasy Guardians;;Fantasy
AG026;Slave Ant;black;Fantasy Infantry;Fantasy Giant Ants;;Fantasy
AG027;XLM54 Laser Tank (mod. JKA65);brown;Fantasy Tank;Fantasy USA;Patton;Yakobinets
AG028;Nuclear Tank;green;Fantasy Tank;Fantasy Mutants;;Fantasy
AG029;Air-to-Air Drone;green;Fantasy Fighter;Fantasy Mutants;;Fantasy
AG030;Puma Hovercraft (light / captured);green;Fantasy ACV;Fantasy USA;;Fantasy
AG031;Sentry Hovercraft (medium / captured);green;Fantasy ACV;Fantasy USA;;Fantasy
AG032;Venus Assault Drone Tank (captured);green;Fantasy Tank;Fantasy USA;;Fantasy
AG033;Hovercraft Class C;grey;Fantasy ACV;Fantasy All Nations;;Fantasy
AG034;Heavy Transport;grey;Fantasy TPT;Fantasy All Nations;;Fantasy
AG035;Infantry Class A - Regulars (Infantry x3);blue/grey;Fantasy Infantry;Fantasy All Nations;;Fantasy
AG036;Infantry Class B - Assault Engineers (x3);blue/grey;Fantasy Engineer Infantry;Fantasy All Nations;;Fantasy
